method,risk_budget,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,covered,ci95_covered
active_clarification_bandit,0.08000,10,0.06372,0.00652,0.00000,0.00000,0.10278,0.00858,0.02865,0.00542,0.02691,0.00568,0.00990,0.00300,0.10278,0.00858,0.21050,0.01778,0.02036,0.00178,0.02304,0.00200,-0.04013,0.00545,0.10278,0.00858
active_clarification_bandit,0.12000,10,0.05937,0.00841,0.00000,0.00000,0.10521,0.00776,0.03038,0.00468,0.02708,0.00492,0.00903,0.00226,0.10521,0.00776,0.21514,0.01519,0.02082,0.00159,0.02347,0.00178,-0.04679,0.00372,0.10521,0.00776
active_clarification_bandit,0.16000,10,0.12639,0.00665,0.01458,0.00250,0.15417,0.00491,0.06198,0.00617,0.05035,0.00264,0.01372,0.00306,0.09062,0.00595,0.34459,0.01146,0.04721,0.00252,0.04480,0.00148,-0.04507,0.00744,0.21632,0.00668
active_clarification_bandit,0.20000,10,0.34340,0.00629,0.07431,0.00825,0.32413,0.00893,0.16493,0.00726,0.14844,0.01104,0.04306,0.00442,0.08108,0.00714,0.76546,0.00691,0.15288,0.00551,0.12482,0.00093,-0.08056,0.01100,0.58819,0.00418
capability_map_tamp,0.08000,10,0.02326,0.00471,0.00000,0.00000,0.04271,0.00535,0.01944,0.00386,0.00885,0.00186,0.00382,0.00132,0.04271,0.00535,0.05698,0.00723,0.00698,0.00095,0.01068,0.00137,-0.01984,0.00192,0.04271,0.00535
capability_map_tamp,0.12000,10,0.05677,0.00473,0.00312,0.00111,0.05330,0.00567,0.04670,0.00284,0.01806,0.00468,0.01372,0.00251,0.04340,0.00409,0.08916,0.00574,0.01711,0.00118,0.02682,0.00154,-0.01301,0.00390,0.10816,0.00613
capability_map_tamp,0.16000,10,0.23802,0.00992,0.03733,0.00490,0.09375,0.00880,0.18958,0.00901,0.07326,0.00699,0.05833,0.00537,0.02760,0.00388,0.23859,0.00634,0.08996,0.00364,0.11076,0.00192,0.01925,0.01298,0.44809,0.00689
capability_map_tamp,0.20000,10,0.46354,0.01117,0.08837,0.00892,0.13715,0.00994,0.35087,0.01126,0.16302,0.00804,0.11684,0.01186,0.00660,0.00188,0.40979,0.00245,0.19209,0.00639,0.21016,0.00121,0.04988,0.02002,0.83750,0.00451
conformal_intent_risk_filter,0.08000,10,0.07778,0.00546,0.00191,0.00129,0.11024,0.00505,0.04861,0.00433,0.02413,0.00413,0.01250,0.00247,0.09740,0.00435,0.18783,0.00708,0.01780,0.00123,0.03109,0.00107,-0.03564,0.00606,0.13958,0.00422
conformal_intent_risk_filter,0.12000,10,0.25521,0.01252,0.03247,0.00325,0.17708,0.00930,0.15208,0.00658,0.07656,0.00812,0.03941,0.00537,0.06319,0.00554,0.37877,0.00816,0.07239,0.00286,0.09463,0.00159,0.00695,0.01534,0.43646,0.00690
conformal_intent_risk_filter,0.16000,10,0.46094,0.00656,0.08767,0.00672,0.25069,0.00976,0.27622,0.00614,0.16163,0.00836,0.08194,0.00655,0.02309,0.00454,0.62079,0.00549,0.16562,0.00498,0.18294,0.00125,0.01966,0.00781,0.81962,0.00435
conformal_intent_risk_filter,0.20000,10,0.58247,0.01424,0.11753,0.00969,0.28368,0.01241,0.32847,0.00593,0.19826,0.00974,0.10295,0.00815,0.00365,0.00118,0.72857,0.00144,0.21594,0.00727,0.22596,0.00049,0.05043,0.02062,0.99809,0.00138
human_model_mpc,0.08000,10,0.04740,0.00415,0.00000,0.00000,0.08628,0.00749,0.02847,0.00406,0.02344,0.00460,0.00521,0.00196,0.08628,0.00749,0.12945,0.01115,0.01781,0.00171,0.01941,0.00173,-0.03854,0.00621,0.08628,0.00749
human_model_mpc,0.12000,10,0.05087,0.00609,0.00000,0.00000,0.08385,0.00671,0.02830,0.00305,0.02240,0.00256,0.00625,0.00145,0.08385,0.00671,0.12569,0.01017,0.01738,0.00144,0.01894,0.00155,-0.03303,0.00215,0.08385,0.00671
human_model_mpc,0.16000,10,0.08229,0.00598,0.00712,0.00246,0.08733,0.00712,0.04618,0.00422,0.03767,0.00537,0.00799,0.00204,0.07326,0.00536,0.15730,0.00828,0.03124,0.00195,0.03043,0.00130,-0.02426,0.00653,0.14462,0.00581
human_model_mpc,0.20000,10,0.26892,0.00954,0.06250,0.00487,0.14149,0.00959,0.16372,0.01018,0.11337,0.00820,0.02500,0.00387,0.04288,0.00437,0.34675,0.00724,0.12672,0.00282,0.10052,0.00151,-0.00810,0.01202,0.47569,0.00657
inverse_rl_intent_pomdp,0.08000,10,0.02899,0.00362,0.00000,0.00000,0.05382,0.00366,0.01788,0.00238,0.01753,0.00266,0.00434,0.00185,0.05382,0.00366,0.07909,0.00523,0.01254,0.00090,0.01283,0.00091,-0.02621,0.00341,0.05382,0.00366
inverse_rl_intent_pomdp,0.12000,10,0.03021,0.00337,0.00000,0.00000,0.05365,0.00561,0.01875,0.00202,0.01684,0.00283,0.00347,0.00160,0.05365,0.00561,0.07904,0.00858,0.01239,0.00136,0.01286,0.00145,-0.02463,0.00350,0.05365,0.00561
inverse_rl_intent_pomdp,0.16000,10,0.02708,0.00482,0.00000,0.00000,0.05052,0.00614,0.01649,0.00265,0.01476,0.00416,0.00486,0.00195,0.05052,0.00614,0.07489,0.00892,0.01189,0.00143,0.01227,0.00153,-0.02415,0.00591,0.05069,0.00612
inverse_rl_intent_pomdp,0.20000,10,0.11389,0.00577,0.02049,0.00332,0.08264,0.00577,0.06875,0.00537,0.05017,0.00511,0.01285,0.00330,0.04531,0.00637,0.16830,0.00970,0.05362,0.00321,0.04447,0.00195,-0.01544,0.00623,0.20521,0.00811
language_affordance_planner,0.08000,10,0.00295,0.00161,0.00000,0.00000,0.00625,0.00170,0.00208,0.00099,0.00156,0.00094,0.00208,0.00122,0.00625,0.00170,0.00816,0.00222,0.00175,0.00046,0.00193,0.00051,-0.00365,0.00110,0.00625,0.00170
language_affordance_planner,0.12000,10,0.00313,0.00159,0.00000,0.00000,0.00556,0.00174,0.00208,0.00111,0.00156,0.00118,0.00087,0.00057,0.00556,0.00174,0.00733,0.00229,0.00158,0.00053,0.00174,0.00057,-0.00264,0.00153,0.00556,0.00174
language_affordance_planner,0.16000,10,0.00295,0.00114,0.00000,0.00000,0.00694,0.00209,0.00243,0.00136,0.00226,0.00114,0.00139,0.00085,0.00694,0.00209,0.00916,0.00276,0.00192,0.00055,0.00215,0.00060,-0.00440,0.00228,0.00694,0.00209
language_affordance_planner,0.20000,10,0.00243,0.00104,0.00000,0.00000,0.00590,0.00162,0.00139,0.00085,0.00243,0.00136,0.00017,0.00034,0.00590,0.00162,0.00774,0.00215,0.00168,0.00048,0.00185,0.00054,-0.00353,0.00197,0.00590,0.00162
oracle_joint_intent_capability_planner,0.08000,10,0.79045,0.01053,0.06319,0.00457,0.28003,0.00761,0.23628,0.01023,0.12847,0.00864,0.01476,0.00322,0.00330,0.00164,0.92004,0.00043,0.09096,0.00410,0.00000,0.00000,0.40123,0.01571,1.00000,0.00000
oracle_joint_intent_capability_planner,0.12000,10,0.80747,0.01212,0.06615,0.00713,0.28490,0.01314,0.23507,0.01331,0.11962,0.00466,0.01632,0.00337,0.00226,0.00144,0.92009,0.00063,0.09336,0.00657,0.00000,0.00000,0.41679,0.01550,1.00000,0.00000
oracle_joint_intent_capability_planner,0.16000,10,0.81024,0.00986,0.06597,0.00712,0.27639,0.01175,0.22552,0.00943,0.12622,0.00841,0.01528,0.00253,0.00174,0.00124,0.92032,0.00056,0.09289,0.00646,0.00000,0.00000,0.42457,0.01229,1.00000,0.00000
oracle_joint_intent_capability_planner,0.20000,10,0.79948,0.01450,0.06858,0.00973,0.27031,0.00605,0.23542,0.01067,0.13299,0.00872,0.01372,0.00261,0.00191,0.00107,0.92029,0.00047,0.09543,0.00905,0.00000,0.00000,0.40772,0.02483,1.00000,0.00000
proposed_affordance_negotiation_v4,0.08000,10,0.09375,0.00771,0.00000,0.00000,0.14913,0.01194,0.04271,0.00535,0.03368,0.00482,0.00712,0.00129,0.14913,0.01194,0.25132,0.02066,0.02345,0.00196,0.02672,0.00226,-0.05000,0.00677,0.14913,0.01194
proposed_affordance_negotiation_v4,0.12000,10,0.16285,0.00726,0.01267,0.00321,0.17135,0.01178,0.08021,0.00983,0.05191,0.00768,0.01024,0.00218,0.13090,0.01140,0.33947,0.01928,0.04640,0.00381,0.04624,0.00210,-0.02838,0.00999,0.26997,0.01203
proposed_affordance_negotiation_v4,0.16000,10,0.37795,0.01217,0.05764,0.00332,0.23108,0.01256,0.18455,0.01041,0.11806,0.01054,0.02830,0.00296,0.06563,0.00909,0.57048,0.01566,0.12729,0.00281,0.10668,0.00197,0.03885,0.01274,0.61719,0.01045
proposed_affordance_negotiation_v4,0.20000,10,0.57674,0.00847,0.10486,0.00737,0.27274,0.01086,0.28767,0.01466,0.19462,0.00770,0.05174,0.00507,0.01719,0.00458,0.78164,0.00629,0.21282,0.00498,0.16413,0.00090,0.08754,0.00452,0.92726,0.00536
risk_aware_shared_autonomy,0.08000,10,0.07049,0.00671,0.00017,0.00034,0.11719,0.00746,0.04063,0.00283,0.02361,0.00279,0.01111,0.00322,0.11701,0.00746,0.18130,0.01166,0.01739,0.00103,0.02230,0.00143,-0.04448,0.00287,0.11858,0.00721
risk_aware_shared_autonomy,0.12000,10,0.16892,0.01101,0.01736,0.00403,0.12899,0.00337,0.09670,0.00589,0.04913,0.00333,0.01128,0.00288,0.08229,0.00673,0.26780,0.01008,0.04773,0.00335,0.05068,0.00124,0.00063,0.00910,0.28142,0.00641
risk_aware_shared_autonomy,0.16000,10,0.40903,0.00992,0.06510,0.00634,0.19288,0.01001,0.23056,0.00950,0.12708,0.00830,0.04236,0.00460,0.04288,0.00796,0.50234,0.00959,0.13696,0.00477,0.12369,0.00169,0.06325,0.01142,0.67344,0.00755
risk_aware_shared_autonomy,0.20000,10,0.59271,0.01439,0.11528,0.01420,0.22483,0.00828,0.31597,0.01036,0.19583,0.01252,0.07691,0.00771,0.00747,0.00089,0.66626,0.00347,0.22065,0.01013,0.18003,0.00084,0.10464,0.02627,0.95972,0.00408
risk_calibrated_collaborative_affordance_v5,0.08000,10,0.62309,0.01341,0.04861,0.00355,0.34288,0.01039,0.23003,0.00860,0.13021,0.00768,0.01788,0.00451,0.15469,0.00800,0.86988,0.01114,0.08985,0.00346,0.06752,0.00064,0.19317,0.01738,0.87101,0.00681
risk_calibrated_collaborative_affordance_v5,0.12000,10,0.71944,0.01192,0.08767,0.00730,0.25938,0.01154,0.25521,0.01175,0.16128,0.00918,0.02257,0.00304,0.00729,0.00188,0.84649,0.00233,0.13382,0.00633,0.07743,0.00044,0.29149,0.01423,0.99549,0.00177
risk_calibrated_collaborative_affordance_v5,0.16000,10,0.71910,0.01278,0.08212,0.00874,0.27118,0.01164,0.25278,0.01020,0.16042,0.00761,0.02656,0.00313,0.00156,0.00079,0.84646,0.00031,0.12950,0.00773,0.07781,0.00041,0.29310,0.01673,1.00000,0.00000
risk_calibrated_collaborative_affordance_v5,0.20000,10,0.72986,0.00891,0.08160,0.00787,0.27274,0.01105,0.25955,0.01508,0.15156,0.00563,0.02639,0.00450,0.00226,0.00125,0.84692,0.00030,0.12899,0.00700,0.07791,0.00040,0.30505,0.01054,1.00000,0.00000
shared_autonomy_pomdp,0.08000,10,0.03420,0.00542,0.00000,0.00000,0.05608,0.00481,0.01962,0.00305,0.01250,0.00226,0.00660,0.00231,0.05608,0.00481,0.08891,0.00770,0.01090,0.00095,0.01178,0.00102,-0.02193,0.00333,0.05608,0.00481
shared_autonomy_pomdp,0.12000,10,0.03299,0.00296,0.00000,0.00000,0.05295,0.00428,0.01632,0.00234,0.01406,0.00246,0.00556,0.00167,0.05295,0.00428,0.08374,0.00656,0.01062,0.00081,0.01126,0.00092,-0.02004,0.00318,0.05295,0.00428
shared_autonomy_pomdp,0.16000,10,0.10990,0.00791,0.01493,0.00216,0.08785,0.00793,0.06024,0.00539,0.03681,0.00402,0.01076,0.00253,0.04792,0.00297,0.17835,0.00585,0.04053,0.00205,0.03611,0.00122,-0.00694,0.01111,0.18333,0.00532
shared_autonomy_pomdp,0.20000,10,0.33177,0.01170,0.06580,0.00825,0.17014,0.01052,0.19149,0.00560,0.12413,0.00814,0.04323,0.00687,0.02674,0.00410,0.44210,0.00858,0.14270,0.00608,0.11510,0.00172,0.01633,0.01297,0.56927,0.00780
uncertainty_clarification_policy,0.08000,10,0.01076,0.00272,0.00000,0.00000,0.01962,0.00329,0.00590,0.00191,0.00486,0.00132,0.00191,0.00164,0.01962,0.00329,0.03929,0.00635,0.00416,0.00074,0.00493,0.00085,-0.00907,0.00136,0.01962,0.00329
uncertainty_clarification_policy,0.12000,10,0.01302,0.00360,0.00000,0.00000,0.02083,0.00340,0.00729,0.00195,0.00729,0.00142,0.00226,0.00102,0.02083,0.00340,0.04161,0.00669,0.00448,0.00075,0.00529,0.00089,-0.00938,0.00214,0.02083,0.00340
uncertainty_clarification_policy,0.16000,10,0.02257,0.00373,0.00347,0.00152,0.03073,0.00476,0.01250,0.00208,0.01024,0.00293,0.00417,0.00162,0.01892,0.00353,0.06469,0.00920,0.00984,0.00182,0.00960,0.00126,-0.01273,0.00347,0.04063,0.00518
uncertainty_clarification_policy,0.20000,10,0.18663,0.00736,0.03819,0.00336,0.18976,0.00873,0.10503,0.00744,0.07431,0.01087,0.03212,0.00425,0.03160,0.00504,0.41700,0.00750,0.08511,0.00235,0.07835,0.00145,-0.05042,0.00856,0.33229,0.00581
