method,seed,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
active_clarification_bandit,0,192,0.58420,0.02945,0.14931,0.01989,0.52257,0.03148,0.26997,0.02650,0.22917,0.02282,0.06076,0.01530,0.06163,0.01475,1.16923,0.02156,0.26570,0.01463,0.21850,0.00274,-0.10912,0.03991
active_clarification_bandit,1,192,0.57899,0.02823,0.14236,0.01974,0.50087,0.03141,0.28125,0.02432,0.23958,0.02468,0.05295,0.01317,0.06944,0.01474,1.16894,0.02162,0.26118,0.01435,0.21855,0.00271,-0.10465,0.03861
active_clarification_bandit,2,192,0.58681,0.02844,0.14062,0.01955,0.50260,0.02869,0.27170,0.02591,0.22830,0.02647,0.06337,0.01519,0.05816,0.01483,1.16884,0.02158,0.26024,0.01425,0.21924,0.00271,-0.08811,0.04072
active_clarification_bandit,3,192,0.58333,0.02895,0.15451,0.02178,0.52691,0.02844,0.27865,0.02666,0.23351,0.02665,0.06771,0.01548,0.06337,0.01419,1.16864,0.02166,0.26863,0.01545,0.21879,0.00277,-0.12472,0.04352
active_clarification_bandit,4,192,0.57552,0.02842,0.15972,0.02169,0.48264,0.02934,0.25434,0.02586,0.24132,0.02504,0.05556,0.01329,0.07639,0.01523,1.16795,0.02162,0.27259,0.01555,0.21859,0.00271,-0.11202,0.04293
active_clarification_bandit,5,192,0.58941,0.02973,0.12934,0.01848,0.48958,0.02931,0.25608,0.02506,0.24132,0.02492,0.05469,0.01389,0.06858,0.01568,1.16904,0.02157,0.25365,0.01328,0.21816,0.00277,-0.06715,0.04085
active_clarification_bandit,6,192,0.56858,0.02753,0.14844,0.02242,0.50087,0.02930,0.29253,0.02504,0.21875,0.02671,0.06337,0.01378,0.07378,0.01539,1.16823,0.02151,0.26596,0.01579,0.21842,0.00263,-0.12037,0.04417
active_clarification_bandit,7,192,0.58941,0.02663,0.14670,0.01917,0.50087,0.03294,0.27170,0.02356,0.21528,0.02349,0.05556,0.01372,0.05642,0.01288,1.16897,0.02155,0.26413,0.01387,0.21748,0.00272,-0.08327,0.03976
active_clarification_bandit,8,192,0.59375,0.02931,0.13281,0.01953,0.47309,0.03003,0.28993,0.02536,0.22222,0.02534,0.05035,0.01327,0.07552,0.01668,1.16928,0.02158,0.25613,0.01410,0.21861,0.00277,-0.06289,0.04477
active_clarification_bandit,9,192,0.58767,0.02707,0.14757,0.01911,0.51389,0.03249,0.24479,0.02664,0.20312,0.02477,0.06163,0.01475,0.05816,0.01464,1.16881,0.02165,0.26572,0.01378,0.21910,0.00272,-0.07934,0.03991
capability_map_tamp,0,192,0.53906,0.02764,0.09115,0.01632,0.15365,0.02088,0.38542,0.03057,0.14931,0.02157,0.10764,0.01772,0.00347,0.00338,0.47140,0.00780,0.20370,0.01326,0.24770,0.00234,0.10804,0.03754
capability_map_tamp,1,192,0.52604,0.02901,0.10851,0.01786,0.14757,0.02141,0.39844,0.02706,0.17882,0.02231,0.12500,0.02103,0.00434,0.00376,0.47062,0.00773,0.21613,0.01428,0.24872,0.00222,0.05677,0.04017
capability_map_tamp,2,192,0.57031,0.02702,0.09896,0.01603,0.17448,0.02188,0.40365,0.02776,0.17014,0.02224,0.09635,0.01828,0.00347,0.00338,0.47130,0.00793,0.20898,0.01318,0.24722,0.00235,0.10890,0.03509
capability_map_tamp,3,192,0.55035,0.02907,0.08767,0.01670,0.13889,0.02023,0.40365,0.02702,0.16493,0.02211,0.11024,0.01861,0.00347,0.00338,0.47246,0.00769,0.20094,0.01361,0.24771,0.00230,0.11607,0.03868
capability_map_tamp,4,192,0.56076,0.02645,0.08681,0.01705,0.15799,0.02208,0.40712,0.02841,0.17795,0.02340,0.11806,0.01819,0.00260,0.00293,0.47157,0.00775,0.20087,0.01360,0.24746,0.00237,0.10991,0.03619
capability_map_tamp,5,192,0.57465,0.02852,0.10417,0.01922,0.16580,0.02282,0.41146,0.02728,0.16753,0.02218,0.10851,0.01703,0.00174,0.00240,0.47129,0.00786,0.21206,0.01530,0.24710,0.00231,0.10703,0.04006
capability_map_tamp,6,192,0.54427,0.02811,0.11198,0.01902,0.15885,0.02093,0.40278,0.03026,0.16406,0.02191,0.10677,0.01931,0.00174,0.00240,0.47012,0.00799,0.21844,0.01512,0.24741,0.00220,0.07631,0.03886
capability_map_tamp,7,192,0.57465,0.02584,0.11545,0.02053,0.15104,0.02105,0.40885,0.02695,0.16146,0.02143,0.11719,0.01946,0.00260,0.00293,0.47207,0.00772,0.21982,0.01627,0.24705,0.00224,0.10247,0.03530
capability_map_tamp,8,192,0.57292,0.02789,0.11111,0.01827,0.15625,0.02180,0.40365,0.02978,0.16146,0.02350,0.12326,0.02082,0.00087,0.00170,0.47119,0.00773,0.21800,0.01421,0.24713,0.00230,0.10358,0.03833
capability_map_tamp,9,192,0.51562,0.02886,0.09722,0.01827,0.16580,0.02257,0.38368,0.02764,0.16493,0.02263,0.12760,0.02050,0.00087,0.00170,0.47167,0.00767,0.20665,0.01501,0.24804,0.00223,0.06146,0.04356
conformal_intent_risk_filter,0,192,0.58594,0.02874,0.10243,0.01865,0.29080,0.02634,0.31424,0.02684,0.18056,0.02355,0.08247,0.01706,0.00174,0.00240,0.70872,0.01363,0.18197,0.01619,0.22188,0.00219,0.08803,0.04176
conformal_intent_risk_filter,1,192,0.59983,0.02885,0.08681,0.01467,0.28125,0.02715,0.34288,0.02897,0.16493,0.02117,0.07118,0.01457,0.00087,0.00170,0.70758,0.01333,0.17075,0.01325,0.22226,0.00221,0.12336,0.03953
conformal_intent_risk_filter,2,192,0.58507,0.02875,0.10590,0.01888,0.26997,0.02671,0.32899,0.02669,0.15972,0.02182,0.07292,0.01647,0.00260,0.00293,0.70787,0.01343,0.18432,0.01643,0.22228,0.00237,0.09920,0.03935
conformal_intent_risk_filter,3,192,0.59635,0.02838,0.08767,0.01670,0.26997,0.02549,0.32812,0.02586,0.15799,0.02336,0.08333,0.01789,0.00260,0.00293,0.70772,0.01345,0.17097,0.01482,0.22219,0.00228,0.12867,0.03951
conformal_intent_risk_filter,4,192,0.58073,0.02792,0.10156,0.01754,0.28038,0.02822,0.34028,0.02842,0.14844,0.02122,0.07205,0.01646,0.00174,0.00240,0.70782,0.01345,0.18256,0.01517,0.22136,0.00222,0.09604,0.04031
conformal_intent_risk_filter,5,192,0.57726,0.02934,0.10764,0.01722,0.27604,0.02583,0.31771,0.02956,0.17448,0.02355,0.08767,0.01688,0.00434,0.00376,0.70782,0.01339,0.18782,0.01488,0.22126,0.00230,0.07983,0.03951
conformal_intent_risk_filter,6,192,0.58854,0.02914,0.11545,0.01828,0.27691,0.02626,0.31597,0.02750,0.17361,0.02182,0.09375,0.01647,0.00087,0.00170,0.70726,0.01325,0.19443,0.01556,0.22163,0.00225,0.08218,0.04207
conformal_intent_risk_filter,7,192,0.60330,0.02840,0.10156,0.01835,0.27691,0.02547,0.33767,0.02723,0.17014,0.02103,0.07465,0.01684,0.00174,0.00240,0.70749,0.01336,0.18135,0.01626,0.22173,0.00225,0.11117,0.04032
conformal_intent_risk_filter,8,192,0.56944,0.02918,0.09722,0.01843,0.27170,0.02669,0.35330,0.02731,0.16927,0.02345,0.07205,0.01555,0.00174,0.00240,0.70736,0.01354,0.17683,0.01628,0.22264,0.00220,0.08016,0.04098
conformal_intent_risk_filter,9,192,0.60156,0.02913,0.10243,0.01817,0.27517,0.02434,0.32899,0.02442,0.18316,0.02308,0.06944,0.01434,0.00087,0.00170,0.70761,0.01347,0.18210,0.01566,0.22229,0.00222,0.10829,0.04118
human_model_mpc,0,192,0.59288,0.03039,0.15278,0.02052,0.19965,0.02510,0.30990,0.02830,0.21094,0.02397,0.06337,0.01357,0.00521,0.00411,0.63339,0.01117,0.27536,0.01398,0.22018,0.00264,0.07512,0.04318
human_model_mpc,1,192,0.58073,0.02954,0.17274,0.02163,0.24392,0.02435,0.32031,0.02884,0.24566,0.02518,0.06250,0.01375,0.00347,0.00338,0.63363,0.01133,0.28733,0.01493,0.22037,0.00267,0.00291,0.04587
human_model_mpc,2,192,0.59028,0.02953,0.15278,0.02162,0.23351,0.02508,0.32205,0.02654,0.22569,0.02541,0.06076,0.01472,0.00260,0.00293,0.63384,0.01137,0.27481,0.01480,0.22025,0.00280,0.04757,0.04225
human_model_mpc,3,192,0.60069,0.03042,0.14844,0.02023,0.20920,0.02403,0.28038,0.02596,0.23177,0.02423,0.07726,0.01652,0.00260,0.00293,0.63301,0.01134,0.27169,0.01424,0.21999,0.00258,0.08148,0.04210
human_model_mpc,4,192,0.56684,0.02965,0.16059,0.02149,0.20920,0.02463,0.31424,0.02595,0.22309,0.02593,0.07205,0.01610,0.00434,0.00376,0.63456,0.01101,0.27977,0.01500,0.22016,0.00276,0.02724,0.04469
human_model_mpc,5,192,0.57378,0.02922,0.15017,0.01998,0.22309,0.02357,0.29514,0.02388,0.23090,0.02550,0.05382,0.01427,0.00347,0.00338,0.63470,0.01129,0.27255,0.01395,0.21970,0.00274,0.04758,0.04087
human_model_mpc,6,192,0.57552,0.02992,0.14757,0.02127,0.24219,0.02516,0.32292,0.02871,0.22396,0.02468,0.05816,0.01382,0.00347,0.00338,0.63319,0.01130,0.27173,0.01478,0.21982,0.00264,0.03548,0.04505
human_model_mpc,7,192,0.59288,0.02902,0.15017,0.02125,0.20486,0.02412,0.34288,0.02784,0.23351,0.02377,0.05990,0.01409,0.00608,0.00443,0.63342,0.01118,0.27321,0.01474,0.21910,0.00260,0.05510,0.04186
human_model_mpc,8,192,0.59028,0.02585,0.14236,0.02061,0.22483,0.02398,0.30729,0.02726,0.22830,0.02614,0.05556,0.01513,0.00434,0.00376,0.63466,0.01127,0.26735,0.01459,0.22031,0.00262,0.06802,0.03966
human_model_mpc,9,192,0.59549,0.02829,0.14757,0.02029,0.20573,0.02329,0.32378,0.02815,0.23090,0.02573,0.06597,0.01544,0.00347,0.00338,0.63270,0.01117,0.27337,0.01391,0.22020,0.00254,0.06675,0.04453
intent_only_follower,0,192,0.45747,0.03015,0.22569,0.02495,0.09722,0.01694,0.37674,0.02735,0.34983,0.02767,0.13715,0.02089,0.01476,0.00671,0.33933,0.00407,0.39258,0.01017,0.34726,0.00472,-0.18702,0.04442
intent_only_follower,1,192,0.46007,0.02787,0.23090,0.02433,0.08073,0.01525,0.35330,0.03053,0.34115,0.02711,0.11892,0.02013,0.02257,0.00878,0.33919,0.00413,0.39473,0.01039,0.34703,0.00459,-0.16713,0.04221
intent_only_follower,2,192,0.46875,0.03019,0.22830,0.02557,0.09722,0.01728,0.37760,0.02683,0.34288,0.02836,0.13455,0.02074,0.01649,0.00706,0.34005,0.00416,0.39308,0.01081,0.34705,0.00468,-0.17550,0.04920
intent_only_follower,3,192,0.48351,0.02829,0.23264,0.02587,0.09201,0.01684,0.37674,0.02536,0.34462,0.02762,0.16233,0.02137,0.01302,0.00634,0.33944,0.00407,0.39489,0.01089,0.34685,0.00460,-0.17023,0.04644
intent_only_follower,4,192,0.46788,0.02833,0.22569,0.02424,0.07812,0.01524,0.36111,0.02858,0.31424,0.02862,0.11979,0.01936,0.01997,0.00840,0.33971,0.00417,0.39276,0.01044,0.34725,0.00470,-0.14343,0.04496
intent_only_follower,5,192,0.44792,0.02901,0.23698,0.02636,0.10069,0.01688,0.37326,0.02692,0.35417,0.02798,0.14844,0.01950,0.01823,0.00776,0.33921,0.00415,0.39599,0.01114,0.34625,0.00471,-0.21461,0.04539
intent_only_follower,6,192,0.46094,0.02967,0.24566,0.02609,0.09288,0.01441,0.38455,0.02776,0.34288,0.02887,0.13715,0.02061,0.02083,0.00782,0.33981,0.00410,0.39897,0.01125,0.34591,0.00460,-0.20389,0.04725
intent_only_follower,7,192,0.44965,0.02795,0.23003,0.02396,0.09028,0.01686,0.37500,0.02905,0.35330,0.02773,0.12934,0.02014,0.01910,0.00791,0.34107,0.00408,0.39408,0.01046,0.34686,0.00454,-0.19602,0.04316
intent_only_follower,8,192,0.45747,0.02917,0.22309,0.02547,0.09462,0.01646,0.38628,0.02434,0.35243,0.02991,0.12413,0.02188,0.01649,0.00784,0.34007,0.00414,0.39208,0.01043,0.34685,0.00467,-0.18439,0.04166
intent_only_follower,9,192,0.45052,0.03052,0.21962,0.02458,0.08333,0.01582,0.36458,0.02871,0.31944,0.02722,0.16146,0.02046,0.02170,0.00866,0.34067,0.00419,0.39089,0.01037,0.34699,0.00456,-0.17180,0.04668
inverse_rl_intent_pomdp,0,192,0.59288,0.02932,0.16580,0.02178,0.22135,0.02555,0.28385,0.02632,0.25347,0.02518,0.06337,0.01460,0.00260,0.00293,0.60669,0.01042,0.30125,0.01369,0.23485,0.00308,0.04259,0.04379
inverse_rl_intent_pomdp,1,192,0.57031,0.03007,0.15191,0.02058,0.23524,0.02510,0.28906,0.02821,0.25000,0.02697,0.06771,0.01430,0.00694,0.00472,0.60576,0.01045,0.29514,0.01312,0.23490,0.00312,0.02626,0.03936
inverse_rl_intent_pomdp,2,192,0.58854,0.02853,0.15104,0.02213,0.22743,0.02601,0.29601,0.02549,0.23872,0.02514,0.06250,0.01375,0.00260,0.00293,0.60532,0.01033,0.29245,0.01393,0.23416,0.00322,0.05387,0.04330
inverse_rl_intent_pomdp,3,192,0.55816,0.02618,0.15191,0.02127,0.23785,0.02648,0.28472,0.02482,0.28299,0.02732,0.07639,0.01560,0.00347,0.00338,0.60598,0.01038,0.29482,0.01326,0.23502,0.00315,-0.00140,0.03828
inverse_rl_intent_pomdp,4,192,0.59462,0.02840,0.18403,0.02184,0.24132,0.02618,0.31250,0.02745,0.25868,0.02618,0.05642,0.01396,0.00434,0.00376,0.60619,0.01043,0.31356,0.01365,0.23490,0.00314,0.00455,0.04108
inverse_rl_intent_pomdp,5,192,0.56858,0.02947,0.17101,0.02217,0.21354,0.02488,0.28733,0.02544,0.24306,0.02585,0.05990,0.01489,0.00608,0.00443,0.60622,0.01042,0.30611,0.01388,0.23472,0.00319,0.01965,0.04764
inverse_rl_intent_pomdp,6,192,0.56424,0.02673,0.16753,0.02151,0.22222,0.02404,0.29601,0.02737,0.26562,0.02486,0.06163,0.01514,0.00434,0.00376,0.60622,0.01036,0.30267,0.01363,0.23470,0.00309,0.00230,0.03849
inverse_rl_intent_pomdp,7,192,0.58160,0.02675,0.16667,0.02033,0.23351,0.02449,0.29253,0.02727,0.27344,0.02414,0.06163,0.01455,0.00694,0.00472,0.60620,0.01029,0.30149,0.01322,0.23471,0.00316,0.01279,0.03917
inverse_rl_intent_pomdp,8,192,0.57986,0.02974,0.17361,0.02182,0.22049,0.02484,0.32031,0.02575,0.26389,0.02545,0.05990,0.01429,0.00608,0.00443,0.60604,0.01034,0.30674,0.01409,0.23487,0.00318,0.00447,0.04391
inverse_rl_intent_pomdp,9,192,0.55990,0.03071,0.16146,0.02156,0.21701,0.02487,0.30556,0.02744,0.25694,0.02695,0.06250,0.01375,0.00260,0.00293,0.60541,0.01031,0.29922,0.01387,0.23512,0.00307,0.00749,0.04651
language_affordance_planner,0,192,0.48264,0.02823,0.18490,0.02356,0.16667,0.02276,0.40278,0.03074,0.28559,0.02747,0.13021,0.02053,0.01649,0.00746,0.45915,0.00634,0.34287,0.01237,0.30551,0.00372,-0.13393,0.04190
language_affordance_planner,1,192,0.51042,0.02921,0.18056,0.02404,0.17014,0.02184,0.34462,0.02772,0.29253,0.03049,0.12153,0.02061,0.00868,0.00525,0.45823,0.00631,0.34192,0.01289,0.30509,0.00371,-0.08181,0.04049
language_affordance_planner,2,192,0.49392,0.02723,0.17535,0.02285,0.16753,0.02282,0.37674,0.03094,0.30035,0.02774,0.10677,0.01916,0.01215,0.00615,0.45817,0.00630,0.33618,0.01277,0.30554,0.00373,-0.10260,0.04517
language_affordance_planner,3,192,0.51128,0.03052,0.18142,0.02348,0.17014,0.02144,0.36372,0.02722,0.30556,0.02534,0.12587,0.01926,0.01215,0.00615,0.45849,0.00629,0.33959,0.01269,0.30545,0.00371,-0.09588,0.04740
language_affordance_planner,4,192,0.51736,0.02664,0.20660,0.02244,0.16840,0.02224,0.38802,0.02555,0.31163,0.02749,0.11806,0.01897,0.01562,0.00689,0.45845,0.00648,0.35312,0.01214,0.30503,0.00367,-0.12595,0.04007
language_affordance_planner,5,192,0.48958,0.02830,0.18229,0.02303,0.15191,0.02113,0.37934,0.02897,0.28906,0.03001,0.11979,0.01906,0.01215,0.00660,0.45786,0.00653,0.34273,0.01214,0.30553,0.00369,-0.10700,0.04265
language_affordance_planner,6,192,0.49566,0.02776,0.19531,0.02408,0.15278,0.02080,0.33767,0.02787,0.27517,0.02695,0.13281,0.01983,0.01302,0.00720,0.45873,0.00631,0.34605,0.01298,0.30475,0.00354,-0.09837,0.04067
language_affordance_planner,7,192,0.50521,0.02823,0.18663,0.02277,0.16667,0.02047,0.38281,0.02719,0.26649,0.02665,0.13976,0.02018,0.01215,0.00660,0.45886,0.00639,0.34323,0.01218,0.30426,0.00358,-0.09970,0.04114
language_affordance_planner,8,192,0.53299,0.02957,0.19097,0.02275,0.14844,0.02108,0.38368,0.02795,0.29340,0.02766,0.12934,0.01970,0.01215,0.00615,0.45882,0.00636,0.34427,0.01258,0.30516,0.00366,-0.07722,0.04158
language_affordance_planner,9,192,0.47656,0.02970,0.19097,0.02351,0.15972,0.02235,0.37413,0.02790,0.30816,0.02668,0.12934,0.02057,0.01302,0.00634,0.45836,0.00652,0.34422,0.01258,0.30544,0.00355,-0.14198,0.04357
oracle_joint_intent_capability_planner,0,192,0.80469,0.02233,0.05642,0.01417,0.28299,0.02678,0.23351,0.02687,0.09462,0.01664,0.00608,0.00443,0.00434,0.00376,0.89060,0.01869,0.06984,0.01463,0.00000,0.00000,0.44163,0.03321
oracle_joint_intent_capability_planner,1,192,0.81076,0.02379,0.04861,0.01273,0.26736,0.02598,0.22222,0.02392,0.09983,0.01757,0.00521,0.00411,0.00174,0.00240,0.89095,0.01863,0.06309,0.01334,0.00000,0.00000,0.46595,0.02887
oracle_joint_intent_capability_planner,2,192,0.77344,0.02543,0.04774,0.01197,0.29253,0.02758,0.21354,0.02306,0.09375,0.01799,0.00955,0.00549,0.00087,0.00170,0.89033,0.01872,0.06289,0.01248,0.00000,0.00000,0.42265,0.03392
oracle_joint_intent_capability_planner,3,192,0.79688,0.02268,0.04514,0.01320,0.29340,0.02766,0.21528,0.02362,0.11458,0.01799,0.00347,0.00338,0.00087,0.00170,0.89104,0.01880,0.05982,0.01366,0.00000,0.00000,0.44064,0.03216
oracle_joint_intent_capability_planner,4,192,0.81944,0.02162,0.04601,0.01211,0.27604,0.02594,0.22135,0.02462,0.09462,0.01766,0.00868,0.00578,0.00000,0.00000,0.89098,0.01885,0.06090,0.01271,0.00000,0.00000,0.47545,0.03120
